
2016-05-16 08:34:45,283 p=5891 u=ivo |  changed: [192.168.140.84] => (item=bigwxwrf/sandy)
2016-05-16 08:34:45,354 p=5891 u=ivo |  changed: [issdm-6] => (item=bigwxwrf/sandy)
2016-05-16 08:34:45,403 p=5891 u=ivo |  changed: [192.168.140.86] => (item=bigwxwrf/sandy)
2016-05-16 08:34:45,487 p=5891 u=ivo |  failed: [nibbler.soe.ucsc.edu] (item=ivotron/ncarwrf) => {"changed": true, "cmd": ["docker", "rm", "-f", "ivotron.ncarwrf"], "delta": "0:00:00.022982", "end": "2016-05-16 08:34:52.683172", "failed": true, "item": "ivotron/ncarwrf", "rc": 1, "start": "2016-05-16 08:34:52.660190", "stderr": "Error response from daemon: No such container: ivotron.ncarwrf", "stdout": "", "stdout_lines": [], "warnings": []}
2016-05-16 08:34:45,491 p=5891 u=ivo |  ...ignoring
2016-05-16 08:34:45,507 p=5891 u=ivo |  failed: [dwill.soe.ucsc.edu] (item=ivotron/ncarwrf) => {"changed": true, "cmd": ["docker", "rm", "-f", "ivotron.ncarwrf"], "delta": "0:00:00.016105", "end": "2016-05-16 08:35:56.566280", "failed": true, "item": "ivotron/ncarwrf", "rc": 1, "start": "2016-05-16 08:35:56.550175", "stderr": "Error response from daemon: No such container: ivotron.ncarwrf", "stdout": "", "stdout_lines": [], "warnings": []}
2016-05-16 08:34:45,511 p=5891 u=ivo |  ...ignoring
2016-05-16 08:34:45,556 p=5891 u=ivo |  failed: [192.168.140.84] (item=ivotron/ncarwrf) => {"changed": true, "cmd": ["docker", "rm", "-f", "ivotron.ncarwrf"], "delta": "0:00:00.027976", "end": "2016-05-16 08:39:58.235028", "failed": true, "item": "ivotron/ncarwrf", "rc": 1, "start": "2016-05-16 08:39:58.207052", "stderr": "Error response from daemon: No such container: ivotron.ncarwrf", "stdout": "", "stdout_lines": [], "warnings": []}
2016-05-16 08:34:45,561 p=5891 u=ivo |  ...ignoring
2016-05-16 08:34:45,638 p=5891 u=ivo |  changed: [147.75.201.115] => (item=bigwxwrf/sandy)
2016-05-16 08:34:45,643 p=5891 u=ivo |  failed: [192.168.140.86] (item=ivotron/ncarwrf) => {"changed": true, "cmd": ["docker", "rm", "-f", "ivotron.ncarwrf"], "delta": "0:00:00.020419", "end": "2016-05-16 08:35:43.092980", "failed": true, "item": "ivotron/ncarwrf", "rc": 1, "start": "2016-05-16 08:35:43.072561", "stderr": "Error response from daemon: No such container: ivotron.ncarwrf", "stdout": "", "stdout_lines": [], "warnings": []}
2016-05-16 08:34:45,648 p=5891 u=ivo |  ...ignoring
2016-05-16 08:34:45,689 p=5891 u=ivo |  failed: [issdm-6] (item=ivotron/ncarwrf) => {"changed": true, "cmd": ["docker", "rm", "-f", "ivotron.ncarwrf"], "delta": "0:00:00.033934", "end": "2016-05-16 08:34:45.577432", "failed": true, "item": "ivotron/ncarwrf", "rc": 1, "start": "2016-05-16 08:34:45.543498", "stderr": "Error response from daemon: No such container: ivotron.ncarwrf", "stdout": "", "stdout_lines": [], "warnings": []}
2016-05-16 08:34:45,694 p=5891 u=ivo |  ...ignoring
